Key,Participant_ID,Start_ms,End_ms,ivt_mean_fix_dur,ivt_mean_sac_amp,ivt_fixation_count,ivt_saccade_count
3Item7,32,1677244558426.7231,1677244578163.2966,267.8726754838574,7.494351223598105,1705.0,424.0
3Item9,32,1677244578177.1294,1677244586472.79,214.63237795388292,8.763451447956463,694.0,218.0
3Item17,32,1677244586472.79,1677244588472.79,249.5812524845246,11.127835953314532,161.0,45.0
1spl1,33,1675945360926.2146,1675945381093.062,308.3194084072975,4.86143581564116,2028.0,257.0
1Item1,33,1675945421018.6628,1675945428936.442,238.6524185640393,6.80297169060971,773.0,146.0
1Item2,33,1675945428972.8335,1675945443374.431,267.33644499280064,4.336018074010024,1388.0,245.0
1Item3,33,1675945443409.4531,1675945476034.3877,271.9241509010416,5.242781993347518,3163.0,523.0
1Item4,33,1675945476072.9878,1675945503348.6382,324.4597144658776,5.100768906385084,2696.0,404.0
1Item5,33,1675945503379.984,1675945543118.6326,312.05082636024537,4.294505079485132,4025.0,497.0
1Item6,33,1675945543155.8652,1675945570983.8853,273.7164496037464,4.659547102824909,2776.0,400.0
1Item7,33,1675945571017.965,1675945644851.4949,342.69737524873614,5.201333727191944,6935.0,1067.0
1Item8,33,1675945644884.6843,1675945690714.0698,312.7826710901615,6.372380627161954,4137.0,718.0
1Item9,33,1675945690747.4062,1675945700662.146,273.477645546128,4.692782097023545,943.0,150.0
1Item10,33,1675945700662.146,1675945720662.146,261.47130857673574,7.348197121437411,1883.0,298.0
2spl1,33,1675945788555.347,1675945793461.4673,213.53915617717564,5.496646534119356,429.0,83.0
2spl2,33,1675945795206.7085,1675945817992.4194,310.3276828307267,6.413649403666133,2056.0,310.0
2Item1,33,1675945819536.5923,1675945825133.7556,207.24568158451876,6.859283808232597,490.0,109.0
2Item2,33,1675945826184.9438,1675945838645.5989,260.5443224719239,5.583728229320234,1157.0,208.0
2Item3,33,1675945839667.496,1675945864750.625,243.22611784066828,4.626748370712456,2385.0,391.0
2Item4,33,1675945865789.66,1675945911569.3877,328.393681111869,5.860806995749714,4344.0,671.0
2Item5,33,1675945912287.5537,1675945952473.113,266.84710531831064,5.242104282803233,3817.0,586.0
2Item6,33,1675945953369.567,1675945966047.3855,273.3578193013072,7.397079366492926,1145.0,215.0
2Item7,33,1675945984592.02,1675946019438.068,265.8980735159697,6.105796213879961,3285.0,579.0
2Item8,33,1675946020199.9392,1675946049539.3623,240.908473009008,5.342910766135801,2662.0,522.0
2Item9,33,1675946072601.653,1675946085099.651,273.4703964038081,6.067142376062517,1154.0,203.0
2Item10,33,1675946085945.5986,1675946140464.5183,304.2375732423498,6.238095648613944,5092.0,786.0
3spl1,33,1675946191226.425,1675946197308.0017,223.25799908590872,5.524617870538576,547.0,116.0
3Item15,33,1675946203294.6292,1675946219007.3992,271.5603402473436,4.55724178969066,1415.0,264.0
3Item2,33,1675946219034.617,1675946224547.1128,210.05049415841052,8.832751555072932,505.0,125.0
3Item5,33,1675946224573.6064,1675946232720.15,245.12088640001005,7.010220701793894,750.0,141.0
3Item12,33,1675946232751.362,1675946245113.53,274.3617971915034,6.535964911976503,1175.0,214.0
3Item6,33,1675946245144.3796,1675946252637.0725,235.02831175182928,6.212821822274655,685.0,146.0
3Item8,33,1675946252669.9214,1675946265706.619,238.8361514450682,6.983710001869036,1211.0,230.0
3Item7,33,1675946265735.7563,1675946280440.9243,361.5904231750425,7.193469689966931,1411.0,226.0
3Item9,33,1675946280473.41,1675946306138.0671,294.7056189026927,8.23540261527768,2415.0,439.0
3Item17,33,1675946306174.3137,1675946314406.207,596.7664337995337,6.623858463262314,827.0,65.0
3Item19,33,1675946314406.207,1675946324406.207,244.3904761877579,7.309470383621246,884.0,201.0
1spl1,34,1677066953394.785,1677066972733.1685,278.5894047869832,1.0568997313183779,0.0,0.0
1spl2,34,1677066972853.205,1677067002296.886,278.5894047869832,1.0568997313183779,0.0,0.0
1Item1,34,1677067002327.5083,1677067009334.7876,278.5894047869832,1.0568997313183779,0.0,0.0
1Item2,34,1677067009357.0083,1677067026595.1614,278.5894047869832,1.0568997313183779,0.0,0.0
1Item3,34,1677067026627.6438,1677067026666.694,278.5894047869832,1.0568997313183779,0.0,0.0
1Item4,34,1677067026678.6338,1677067058050.954,278.5894047869832,1.0568997313183779,0.0,0.0
1Item5,34,1677067058077.6963,1677067115179.2715,278.5894047869832,1.3590224293791233,0.0,3.0
1Item6,34,1677067115200.9058,1677067142973.0144,278.5894047869832,0.7547770332576328,0.0,2.0
1Item7,34,1677067142999.1372,1677067159889.9636,278.5894047869832,1.0568997313183779,0.0,0.0
1Item8,34,1677067159914.8987,1677067255826.8608,278.5894047869832,1.0568997313183779,0.0,0.0
1Item9,34,1677067255848.4282,1677067279546.295,278.5894047869832,1.0568997313183779,0.0,0.0
1Item10,34,1677067279568.8306,1677067301304.597,278.5894047869832,1.0568997313183779,0.0,0.0
2spl1,34,1677067402025.3052,1677067412088.517,278.5894047869832,1.0568997313183779,0.0,0.0
2spl2,34,1677067414507.9348,1677067431765.2395,278.5894047869832,1.0568997313183779,0.0,0.0
2Item1,34,1677067433606.4695,1677067441814.67,278.5894047869832,1.0568997313183779,0.0,0.0
2Item2,34,1677067450383.6853,1677067459285.3398,278.5894047869832,1.0568997313183779,0.0,0.0
2Item3,34,1677067460428.786,1677067469861.5376,278.5894047869832,1.0568997313183779,0.0,0.0
2Item4,34,1677067471107.375,1677067520838.2766,278.5894047869832,1.0568997313183779,0.0,0.0
2Item5,34,1677067522220.7888,1677067548598.5496,278.5894047869832,1.0568997313183779,0.0,0.0
2Item6,34,1677067549561.6035,1677067562046.671,278.5894047869832,1.0568997313183779,0.0,0.0
2Item7,34,1677067564078.5037,1677067589726.472,278.5894047869832,1.0568997313183779,0.0,0.0
2Item8,34,1677067590638.7712,1677067615172.884,278.5894047869832,1.0568997313183779,0.0,0.0
2Item9,34,1677067618344.8228,1677067641498.5151,278.5894047869832,1.0568997313183779,0.0,0.0
2Item10,34,1677067642452.8977,1677067659660.7004,278.5894047869832,1.0568997313183779,0.0,0.0
3spl1,34,1677067734914.0122,1677067743142.3508,278.5894047869832,1.0568997313183779,0.0,0.0
3Item15,34,1677067747002.3503,1677067758879.1548,278.5894047869832,1.0568997313183779,0.0,0.0
3Item2,34,1677067758901.229,1677067766791.3152,278.5894047869832,1.0568997313183779,0.0,0.0
3Item5,34,1677067766813.6611,1677067778143.598,278.5894047869832,1.0568997313183779,0.0,0.0
3Item12,34,1677067778169.3147,1677067787048.5227,278.5894047869832,1.0568997313183779,0.0,0.0
3Item6,34,1677067787073.1045,1677067796118.308,278.5894047869832,1.0568997313183779,0.0,0.0
3Item8,34,1677067796143.0298,1677067809342.8496,278.5894047869832,1.0568997313183779,0.0,0.0
3Item7,34,1677067809366.1975,1677067820653.5403,278.5894047869832,1.0568997313183779,0.0,0.0
3Item9,34,1677067820684.3623,1677067830599.6245,278.5894047869832,1.0568997313183779,0.0,0.0
3Item17,34,1677067830619.0872,1677067838685.3765,278.5894047869832,1.0568997313183779,0.0,0.0
3Item19,34,1677067838712.668,1677067845719.3215,278.5894047869832,1.0568997313183779,0.0,0.0
3Item11,34,1677067845737.8489,1677067849407.1094,278.5894047869832,1.0568997313183779,0.0,0.0
3Item4,34,1677067849431.8457,1677067851390.241,278.5894047869832,1.0568997313183779,0.0,0.0
3Item13,34,1677067851411.2715,1677067852898.2324,278.5894047869832,1.0568997313183779,0.0,0.0
3Item10,34,1677067852919.6956,1677067854900.168,278.5894047869832,1.0568997313183779,0.0,0.0
3Item14,34,1677067854923.8284,1677067856944.497,278.5894047869832,1.0568997313183779,0.0,0.0
3Item3,34,1677067856968.137,1677067862134.4016,278.5894047869832,1.0568997313183779,0.0,0.0
3Item20,34,1677067862152.7837,1677067863870.897,278.5894047869832,1.0568997313183779,0.0,0.0
3Item18,34,1677067863886.1138,1677067866183.8057,278.5894047869832,1.0568997313183779,0.0,0.0
3Item16,34,1677067866200.89,1677067867328.4072,278.5894047869832,1.0568997313183779,0.0,0.0
1spl1,35,1678712056224.1729,1678712067145.817,242.6001655831788,7.127332617529042,1046.0,212.0
1spl2,35,1678712067245.518,1678712076001.6052,241.82212260606303,6.291077473499542,825.0,178.0
1Item1,35,1678712076043.074,1678712089120.5437,229.87180940325533,7.918972602532645,1106.0,287.0
1Item2,35,1678712089141.8792,1678712100308.0962,275.8828235099365,5.4380025400950265,1057.0,186.0
1Item3,35,1678712100339.204,1678712122305.755,301.86484892034395,4.978061851404672,2084.0,352.0
1Item4,35,1678712122332.456,1678712147020.2588,229.859393706128,6.62841450324052,2137.0,462.0
1Item5,35,1678712147047.7192,1678712191578.404,242.06675607591603,6.111446376253984,4057.0,776.0
1Item6,35,1678712191604.9944,1678712210253.2334,244.84496835960277,4.974964951412942,1713.0,273.0
1Item7,35,1678712210274.6057,1678712238640.395,223.4072226602933,7.524899308144086,2511.0,589.0
1Item8,35,1678712238664.2295,1678712265538.4668,237.5820429641909,7.433323659406384,2402.0,532.0
1Item9,35,1678712265555.7537,1678712292268.4077,279.8088587505081,5.951793747159504,2457.0,428.0
1Item10,35,1678712292286.271,1678712320300.8655,261.2742091910333,6.225048300563713,2497.0,469.0
2spl1,35,1678712410191.7751,1678712416712.7903,238.10414109589945,6.025466024104508,584.0,138.0
2spl2,35,1678712418982.3013,1678712427320.1077,184.62402945025343,6.539168933574416,764.0,173.0
2Item1,35,1678712429096.8562,1678712436992.777,246.4093486577173,7.889026502221186,745.0,164.0
2Item2,35,1678712438530.268,1678712446237.7295,192.20135267857188,6.152813573001173,672.0,168.0
2Item3,35,1678712447386.2988,1678712454336.3308,260.12076168832846,6.4945736565872325,616.0,122.0
2Item4,35,1678712455410.485,1678712466820.4604,235.437537905634,5.538347479983279,1017.0,204.0
2Item5,35,1678712470482.0408,1678712481541.339,251.7954837440521,7.5962819771591645,1055.0,203.0
