Key,Participant_ID,Category,Difficulty,ResponseTime,routineStart,routineEnd,Result,Start_ms,End_ms
1Item6,31,1,1,33.19971889999579,1677158568.181828,1677158601.381547,1.0,1677158568181.828,1677158601381.5469
1Item7,31,1,2,33.097171000001254,1677158601.3991258,1677158634.496297,1.0,1677158601399.1255,1677158634496.2969
1Item8,31,1,2,35.18854839999403,1677158634.5163157,1677158669.704864,1.0,1677158634516.3157,1677158669704.864
1Item9,31,1,2,43.92167280000285,1677158669.723215,1677158713.644888,0.0,1677158669723.215,1677158713644.888
1Item10,31,1,2,15.573949199999332,1677158713.6654332,1677158729.2393825,1.0,1677158713665.433,1677158729239.3826
2spl1,31,2,0,7.640613599985954,1677158911.5427077,1677158919.1833212,1.0,1677158911542.7078,1677158919183.3213
2spl2,31,2,0,38.80914339999436,1677158922.6658647,1677158961.475008,1.0,1677158922665.8647,1677158961475.008
2Item1,31,2,0,10.818895500007784,1677158963.201059,1677158974.0199547,1.0,1677158963201.059,1677158974019.9546
2Item2,31,2,0,33.019359600002645,1677158975.0344474,1677159008.053807,1.0,1677158975034.4475,1677159008053.8071
2Item3,31,2,0,15.273060000006808,1677159009.1210113,1677159024.394071,1.0,1677159009121.0112,1677159024394.071
2Item4,31,2,1,58.38252349999675,1677159025.2858007,1677159083.6683242,1.0,1677159025285.8008,1677159083668.3242
2Item5,31,2,1,7.495376799997757,1677159084.4586897,1677159091.9540665,1.0,1677159084458.6897,1677159091954.0664
2Item6,31,2,1,27.818863000007696,1677159092.9967542,1677159120.815617,1.0,1677159092996.7542,1677159120815.6172
2Item7,31,2,2,43.41469900000084,1677159121.7151418,1677159165.1298409,1.0,1677159121715.1418,1677159165129.8408
2Item8,31,2,2,35.38562399998773,1677159166.026183,1677159201.4118068,0.0,1677159166026.1829,1677159201411.807
2Item9,31,2,2,27.101946099995985,1677159203.255905,1677159230.357851,1.0,1677159203255.905,1677159230357.851
2Item10,31,2,2,9.61457469999732,1677159231.467627,1677159241.0822015,1.0,1677159231467.627,1677159241082.2014
3spl1,31,3,0,7.541268999993917,1677159358.2462282,1677159365.7874973,1.0,1677159358246.2285,1677159365787.4973
3Item15,31,3,2,16.02275560000271,1677159370.316898,1677159386.3396535,0.0,1677159370316.8982,1677159386339.6536
3Item2,31,3,0,7.135222800003248,1677159386.3581538,1677159393.4933767,1.0,1677159386358.1538,1677159393493.3767
3Item5,31,3,0,6.055406300001778,1677159393.5108907,1677159399.566297,1.0,1677159393510.8906,1677159399566.297
3Item12,31,3,1,8.13360709999688,1677159399.5778248,1677159407.711432,1.0,1677159399577.825,1677159407711.432
3Item6,31,3,0,5.641783699989901,1677159407.727918,1677159413.3697016,1.0,1677159407727.918,1677159413369.7017
3Item8,31,3,1,17.544880899993586,1677159413.390118,1677159430.9349988,1.0,1677159413390.118,1677159430934.9988
3Item7,31,3,1,9.322561000008136,1677159430.9515383,1677159440.274099,1.0,1677159430951.5383,1677159440274.099
3Item9,31,3,1,18.86613059999945,1677159440.2914915,1677159459.157622,0.0,1677159440291.4917,1677159459157.622
3Item17,31,3,0,31.0,1677159459.157622,1677159490.157622,,1677159459157.622,1677159490157.622
1spl1,32,1,0,7.235870500007877,1677243752.61373,1677243759.8496006,1.0,1677243752613.73,1677243759849.6006
1spl2,32,1,0,5.012822500022594,1677243759.9746733,1677243764.9874957,0.0,1677243759974.673,1677243764987.4956
1Item1,32,1,0,11.640511200006586,1677243765.0189471,1677243776.6594584,1.0,1677243765018.947,1677243776659.4585
1Item2,32,1,0,13.798746299988125,1677243776.6755996,1677243790.474346,1.0,1677243776675.5996,1677243790474.346
1Item3,32,1,0,27.082179899996845,1677243790.490722,1677243817.5729015,1.0,1677243790490.722,1677243817572.9014
1Item4,32,1,1,25.109439699997893,1677243817.5885894,1677243842.698029,1.0,1677243817588.5894,1677243842698.029
1Item5,32,1,1,34.925945499999216,1677243842.7138872,1677243877.6398327,1.0,1677243842713.8872,1677243877639.8328
1Item6,32,1,1,17.251038299989887,1677243877.655722,1677243894.9067602,0.0,1677243877655.722,1677243894906.7605
1Item7,32,1,2,15.183967999997549,1677243894.920792,1677243910.1047602,1.0,1677243894920.792,1677243910104.7605
1Item8,32,1,2,32.213256499991985,1677243910.1230023,1677243942.336259,0.0,1677243910123.0022,1677243942336.2588
1Item9,32,1,2,49.965102099988144,1677243942.3512945,1677243992.3163967,1.0,1677243942351.2944,1677243992316.3967
1Item10,32,1,2,43.383268000005046,1677243992.3309448,1677244035.714213,,1677243992330.9448,1677244035714.213
2spl1,32,2,0,12.955149199988227,1677244104.917339,1677244117.8724885,1.0,1677244104917.339,1677244117872.4883
2spl2,32,2,0,5.599657899991144,1677244122.9959354,1677244128.5955937,1.0,1677244122995.9355,1677244128595.5938
2Item1,32,2,0,6.918041099997936,1677244129.7872334,1677244136.7052743,1.0,1677244129787.2334,1677244136705.2744
2Item2,32,2,0,4.030515700025717,1677244137.8263657,1677244141.8568814,1.0,1677244137826.3655,1677244141856.881
2Item3,32,2,0,28.47171199999866,1677244142.9605672,1677244171.432279,1.0,1677244142960.5671,1677244171432.279
2Item4,32,2,1,32.370923099981155,1677244172.5058737,1677244204.8767967,1.0,1677244172505.8738,1677244204876.7966
2Item5,32,2,1,26.17965189999086,1677244205.9042163,1677244232.0838685,1.0,1677244205904.2163,1677244232083.8684
2Item6,32,2,1,27.040669700014405,1677244233.0011084,1677244260.041778,1.0,1677244233001.1084,1677244260041.778
2Item7,32,2,2,27.27078330001677,1677244260.9811113,1677244288.2518945,0.0,1677244260981.111,1677244288251.8943
2Item8,32,2,2,40.15399089999846,1677244289.4949744,1677244329.6489654,0.0,1677244289494.9744,1677244329648.965
2Item9,32,2,2,35.07113189998199,1677244331.179272,1677244366.250404,1.0,1677244331179.272,1677244366250.4038
2Item10,32,2,2,24.37868160000653,1677244367.0805714,1677244391.459253,1.0,1677244367080.5715,1677244391459.2532
